CodigoProducto,Nombre,Periodo
PROD311,Producto de Prueba 311,2024-02
PROD312,Producto de Prueba 312,2024-02
PROD313,Producto de Prueba 313,2024-02
PROD314,Producto de Prueba 314,2024-02
PROD315,Producto de Prueba 315,2024-02
PROD316,Producto de Prueba 316,2024-02
PROD317,Producto de Prueba 317,2024-02
PROD318,Producto de Prueba 318,2024-02
PROD319,Producto de Prueba 319,2024-02
PROD320,Producto de Prueba 320,2024-02
PROD321,Producto de Prueba 321,2024-02
PROD322,Producto de Prueba 322,2024-02
PROD323,Producto de Prueba 323,2024-02
PROD324,Producto de Prueba 324,2024-02
PROD325,Producto de Prueba 325,2024-02
PROD326,Producto de Prueba 326,2024-02
PROD327,Producto de Prueba 327,2024-02
PROD328,Producto de Prueba 328,2024-02
PROD329,Producto de Prueba 329,2024-02
PROD330,Producto de Prueba 330,2024-02
PROD331,Producto de Prueba 331,2024-02
PROD332,Producto de Prueba 332,2024-02
PROD333,Producto de Prueba 333,2024-02
PROD334,Producto de Prueba 334,2024-02
PROD335,Producto de Prueba 335,2024-02
PROD336,Producto de Prueba 336,2024-02
PROD337,Producto de Prueba 337,2024-02
PROD338,Producto de Prueba 338,2024-02
PROD339,Producto de Prueba 339,2024-02
PROD340,Producto de Prueba 340,2024-02
PROD341,Producto de Prueba 341,2024-02
PROD342,Producto de Prueba 342,2024-02
PROD343,Producto de Prueba 343,2024-02
PROD344,Producto de Prueba 344,2024-02
PROD345,Producto de Prueba 345,2024-02
PROD346,Producto de Prueba 346,2024-02
PROD347,Producto de Prueba 347,2024-02
PROD348,Producto de Prueba 348,2024-02
PROD349,Producto de Prueba 349,2024-02
PROD350,Producto de Prueba 350,2024-02
PROD351,Producto de Prueba 351,2024-02
PROD352,Producto de Prueba 352,2024-02
PROD353,Producto de Prueba 353,2024-02
PROD354,Producto de Prueba 354,2024-02
PROD355,Producto de Prueba 355,2024-02
PROD356,Producto de Prueba 356,2024-02
PROD357,Producto de Prueba 357,2024-02
PROD358,Producto de Prueba 358,2024-02
PROD359,Producto de Prueba 359,2024-02
PROD360,Producto de Prueba 360,2024-02
PROD361,Producto de Prueba 361,2024-02
PROD362,Producto de Prueba 362,2024-02
PROD363,Producto de Prueba 363,2024-02
PROD364,Producto de Prueba 364,2024-02
PROD365,Producto de Prueba 365,2024-02
PROD366,Producto de Prueba 366,2024-02
PROD367,Producto de Prueba 367,2024-02
PROD368,Producto de Prueba 368,2024-02
PROD369,Producto de Prueba 369,2024-02
PROD370,Producto de Prueba 370,2024-02
PROD371,Producto de Prueba 371,2024-02
PROD372,Producto de Prueba 372,2024-02
PROD373,Producto de Prueba 373,2024-02
PROD374,Producto de Prueba 374,2024-02
PROD375,Producto de Prueba 375,2024-02
PROD376,Producto de Prueba 376,2024-02
PROD377,Producto de Prueba 377,2024-02
PROD378,Producto de Prueba 378,2024-02
PROD379,Producto de Prueba 379,2024-02
PROD380,Producto de Prueba 380,2024-02
PROD381,Producto de Prueba 381,2024-02
PROD382,Producto de Prueba 382,2024-02
PROD383,Producto de Prueba 383,2024-02
PROD384,Producto de Prueba 384,2024-02
PROD385,Producto de Prueba 385,2024-02
PROD386,Producto de Prueba 386,2024-02
PROD387,Producto de Prueba 387,2024-02
PROD388,Producto de Prueba 388,2024-02
PROD389,Producto de Prueba 389,2024-02
PROD390,Producto de Prueba 390,2024-02
PROD391,Producto de Prueba 391,2024-02
PROD392,Producto de Prueba 392,2024-02
PROD393,Producto de Prueba 393,2024-02
PROD394,Producto de Prueba 394,2024-02
PROD395,Producto de Prueba 395,2024-02
PROD396,Producto de Prueba 396,2024-02
PROD397,Producto de Prueba 397,2024-02
PROD398,Producto de Prueba 398,2024-02
PROD399,Producto de Prueba 399,2024-02
PROD400,Producto de Prueba 400,2024-02
PROD401,Producto de Prueba 401,2024-02
PROD402,Producto de Prueba 402,2024-02
PROD403,Producto de Prueba 403,2024-02
PROD404,Producto de Prueba 404,2024-02
PROD405,Producto de Prueba 405,2024-02
PROD406,Producto de Prueba 406,2024-02
PROD407,Producto de Prueba 407,2024-02
PROD408,Producto de Prueba 408,2024-02
PROD409,Producto de Prueba 409,2024-02
PROD410,Producto de Prueba 410,2024-02
PROD411,Producto de Prueba 411,2024-02
PROD412,Producto de Prueba 412,2024-02
PROD413,Producto de Prueba 413,2024-02
PROD414,Producto de Prueba 414,2024-02
PROD415,Producto de Prueba 415,2024-02
PROD416,Producto de Prueba 416,2024-02
PROD417,Producto de Prueba 417,2024-02
PROD418,Producto de Prueba 418,2024-02
PROD419,Producto de Prueba 419,2024-02
PROD420,Producto de Prueba 420,2024-02
PROD421,Producto de Prueba 421,2024-02
PROD422,Producto de Prueba 422,2024-02
PROD423,Producto de Prueba 423,2024-02
PROD424,Producto de Prueba 424,2024-02
PROD425,Producto de Prueba 425,2024-02
PROD426,Producto de Prueba 426,2024-02
PROD427,Producto de Prueba 427,2024-02
PROD428,Producto de Prueba 428,2024-02
PROD429,Producto de Prueba 429,2024-02
PROD430,Producto de Prueba 430,2024-02
PROD431,Producto de Prueba 431,2024-02
PROD432,Producto de Prueba 432,2024-02
PROD433,Producto de Prueba 433,2024-02
PROD434,Producto de Prueba 434,2024-02
PROD435,Producto de Prueba 435,2024-02
PROD436,Producto de Prueba 436,2024-02
PROD437,Producto de Prueba 437,2024-02
PROD438,Producto de Prueba 438,2024-02
PROD439,Producto de Prueba 439,2024-02
PROD440,Producto de Prueba 440,2024-02
PROD441,Producto de Prueba 441,2024-02
PROD442,Producto de Prueba 442,2024-02
PROD443,Producto de Prueba 443,2024-02
PROD444,Producto de Prueba 444,2024-02
PROD445,Producto de Prueba 445,2024-02
PROD446,Producto de Prueba 446,2024-02
PROD447,Producto de Prueba 447,2024-02
PROD448,Producto de Prueba 448,2024-02
PROD449,Producto de Prueba 449,2024-02
PROD450,Producto de Prueba 450,2024-02
PROD451,Producto de Prueba 451,2024-02
PROD452,Producto de Prueba 452,2024-02
PROD453,Producto de Prueba 453,2024-02
PROD454,Producto de Prueba 454,2024-02
PROD455,Producto de Prueba 455,2024-02
PROD456,Producto de Prueba 456,2024-02
PROD457,Producto de Prueba 457,2024-02
PROD458,Producto de Prueba 458,2024-02
PROD459,Producto de Prueba 459,2024-02
PROD460,Producto de Prueba 460,2024-02
PROD461,Producto de Prueba 461,2024-02
PROD462,Producto de Prueba 462,2024-02
PROD463,Producto de Prueba 463,2024-02
PROD464,Producto de Prueba 464,2024-02
PROD465,Producto de Prueba 465,2024-02
PROD466,Producto de Prueba 466,2024-02
PROD467,Producto de Prueba 467,2024-02
PROD468,Producto de Prueba 468,2024-02
PROD469,Producto de Prueba 469,2024-02
PROD470,Producto de Prueba 470,2024-02
PROD471,Producto de Prueba 471,2024-02
PROD472,Producto de Prueba 472,2024-02
PROD473,Producto de Prueba 473,2024-02
PROD474,Producto de Prueba 474,2024-02
PROD475,Producto de Prueba 475,2024-02
PROD476,Producto de Prueba 476,2024-02
PROD477,Producto de Prueba 477,2024-02
PROD478,Producto de Prueba 478,2024-02
PROD479,Producto de Prueba 479,2024-02
PROD480,Producto de Prueba 480,2024-02
PROD481,Producto de Prueba 481,2024-02
PROD482,Producto de Prueba 482,2024-02
PROD483,Producto de Prueba 483,2024-02
PROD484,Producto de Prueba 484,2024-02
PROD485,Producto de Prueba 485,2024-02
PROD486,Producto de Prueba 486,2024-02
PROD487,Producto de Prueba 487,2024-02
PROD488,Producto de Prueba 488,2024-02
PROD489,Producto de Prueba 489,2024-02
PROD490,Producto de Prueba 490,2024-02
PROD491,Producto de Prueba 491,2024-02
PROD492,Producto de Prueba 492,2024-02
PROD493,Producto de Prueba 493,2024-02
PROD494,Producto de Prueba 494,2024-02
PROD495,Producto de Prueba 495,2024-02
PROD496,Producto de Prueba 496,2024-02
PROD497,Producto de Prueba 497,2024-02
PROD498,Producto de Prueba 498,2024-02
PROD499,Producto de Prueba 499,2024-02
PROD500,Producto de Prueba 500,2024-02
PROD501,Producto de Prueba 501,2024-02
PROD502,Producto de Prueba 502,2024-02
PROD503,Producto de Prueba 503,2024-02
PROD504,Producto de Prueba 504,2024-02
PROD505,Producto de Prueba 505,2024-02
PROD506,Producto de Prueba 506,2024-02
PROD507,Producto de Prueba 507,2024-02
PROD508,Producto de Prueba 508,2024-02
PROD509,Producto de Prueba 509,2024-02
PROD510,Producto de Prueba 510,2024-02
PROD511,Producto de Prueba 511,2024-02
PROD512,Producto de Prueba 512,2024-02
PROD513,Producto de Prueba 513,2024-02
PROD514,Producto de Prueba 514,2024-02
PROD515,Producto de Prueba 515,2024-02
PROD516,Producto de Prueba 516,2024-02
PROD517,Producto de Prueba 517,2024-02
PROD518,Producto de Prueba 518,2024-02
PROD519,Producto de Prueba 519,2024-02
PROD520,Producto de Prueba 520,2024-02
PROD521,Producto de Prueba 521,2024-02
PROD522,Producto de Prueba 522,2024-02
PROD523,Producto de Prueba 523,2024-02
PROD524,Producto de Prueba 524,2024-02
PROD525,Producto de Prueba 525,2024-02
PROD526,Producto de Prueba 526,2024-02
PROD527,Producto de Prueba 527,2024-02
PROD528,Producto de Prueba 528,2024-02
PROD529,Producto de Prueba 529,2024-02
PROD530,Producto de Prueba 530,2024-02
PROD531,Producto de Prueba 531,2024-02
PROD532,Producto de Prueba 532,2024-02
PROD533,Producto de Prueba 533,2024-02
PROD534,Producto de Prueba 534,2024-02
PROD535,Producto de Prueba 535,2024-02
PROD536,Producto de Prueba 536,2024-02
PROD537,Producto de Prueba 537,2024-02
PROD538,Producto de Prueba 538,2024-02
PROD539,Producto de Prueba 539,2024-02
PROD540,Producto de Prueba 540,2024-02
PROD541,Producto de Prueba 541,2024-02
PROD542,Producto de Prueba 542,2024-02
PROD543,Producto de Prueba 543,2024-02
PROD544,Producto de Prueba 544,2024-02
PROD545,Producto de Prueba 545,2024-02
PROD546,Producto de Prueba 546,2024-02
PROD547,Producto de Prueba 547,2024-02
PROD548,Producto de Prueba 548,2024-02
PROD549,Producto de Prueba 549,2024-02
PROD550,Producto de Prueba 550,2024-02
PROD551,Producto de Prueba 551,2024-02
PROD552,Producto de Prueba 552,2024-02
PROD553,Producto de Prueba 553,2024-02
PROD554,Producto de Prueba 554,2024-02
PROD555,Producto de Prueba 555,2024-02
PROD556,Producto de Prueba 556,2024-02
PROD557,Producto de Prueba 557,2024-02
PROD558,Producto de Prueba 558,2024-02
PROD559,Producto de Prueba 559,2024-02
PROD560,Producto de Prueba 560,2024-02
PROD561,Producto de Prueba 561,2024-02
PROD562,Producto de Prueba 562,2024-02
PROD563,Producto de Prueba 563,2024-02
PROD564,Producto de Prueba 564,2024-02
PROD565,Producto de Prueba 565,2024-02
PROD566,Producto de Prueba 566,2024-02
PROD567,Producto de Prueba 567,2024-02
PROD568,Producto de Prueba 568,2024-02
PROD569,Producto de Prueba 569,2024-02
PROD570,Producto de Prueba 570,2024-02
PROD571,Producto de Prueba 571,2024-02
PROD572,Producto de Prueba 572,2024-02
PROD573,Producto de Prueba 573,2024-02
PROD574,Producto de Prueba 574,2024-02
PROD575,Producto de Prueba 575,2024-02
PROD576,Producto de Prueba 576,2024-02
PROD577,Producto de Prueba 577,2024-02
PROD578,Producto de Prueba 578,2024-02
PROD579,Producto de Prueba 579,2024-02
PROD580,Producto de Prueba 580,2024-02
PROD581,Producto de Prueba 581,2024-02
PROD582,Producto de Prueba 582,2024-02
PROD583,Producto de Prueba 583,2024-02
PROD584,Producto de Prueba 584,2024-02
PROD585,Producto de Prueba 585,2024-02
PROD586,Producto de Prueba 586,2024-02
PROD587,Producto de Prueba 587,2024-02
PROD588,Producto de Prueba 588,2024-02
PROD589,Producto de Prueba 589,2024-02
PROD590,Producto de Prueba 590,2024-02
PROD591,Producto de Prueba 591,2024-02
PROD592,Producto de Prueba 592,2024-02
PROD593,Producto de Prueba 593,2024-02
PROD594,Producto de Prueba 594,2024-02
PROD595,Producto de Prueba 595,2024-02
PROD596,Producto de Prueba 596,2024-02
PROD597,Producto de Prueba 597,2024-02
PROD598,Producto de Prueba 598,2024-02
PROD599,Producto de Prueba 599,2024-02
PROD600,Producto de Prueba 600,2024-02
PROD601,Producto de Prueba 601,2024-02
PROD602,Producto de Prueba 602,2024-02
PROD603,Producto de Prueba 603,2024-02
PROD604,Producto de Prueba 604,2024-02
PROD605,Producto de Prueba 605,2024-02
PROD606,Producto de Prueba 606,2024-02
PROD607,Producto de Prueba 607,2024-02
PROD608,Producto de Prueba 608,2024-02
PROD609,Producto de Prueba 609,2024-02
PROD610,Producto de Prueba 610,2024-02
PROD611,Producto de Prueba 611,2024-02
PROD612,Producto de Prueba 612,2024-02
PROD613,Producto de Prueba 613,2024-02
PROD614,Producto de Prueba 614,2024-02
PROD615,Producto de Prueba 615,2024-02
PROD616,Producto de Prueba 616,2024-02
PROD617,Producto de Prueba 617,2024-02
PROD618,Producto de Prueba 618,2024-02
PROD619,Producto de Prueba 619,2024-02
PROD620,Producto de Prueba 620,2024-02
PROD621,Producto de Prueba 621,2024-02
PROD622,Producto de Prueba 622,2024-02
PROD623,Producto de Prueba 623,2024-02
PROD624,Producto de Prueba 624,2024-02
PROD625,Producto de Prueba 625,2024-02
PROD626,Producto de Prueba 626,2024-02
PROD627,Producto de Prueba 627,2024-02
PROD628,Producto de Prueba 628,2024-02
PROD629,Producto de Prueba 629,2024-02
PROD630,Producto de Prueba 630,2024-02
PROD631,Producto de Prueba 631,2024-02
PROD632,Producto de Prueba 632,2024-02
PROD633,Producto de Prueba 633,2024-02
PROD634,Producto de Prueba 634,2024-02
PROD635,Producto de Prueba 635,2024-02
PROD636,Producto de Prueba 636,2024-02
PROD637,Producto de Prueba 637,2024-02
PROD638,Producto de Prueba 638,2024-02
PROD639,Producto de Prueba 639,2024-02
PROD640,Producto de Prueba 640,2024-02
PROD641,Producto de Prueba 641,2024-02
PROD642,Producto de Prueba 642,2024-02
PROD643,Producto de Prueba 643,2024-02
PROD644,Producto de Prueba 644,2024-02
PROD645,Producto de Prueba 645,2024-02
PROD646,Producto de Prueba 646,2024-02
PROD647,Producto de Prueba 647,2024-02
PROD648,Producto de Prueba 648,2024-02
PROD649,Producto de Prueba 649,2024-02
PROD650,Producto de Prueba 650,2024-02
PROD651,Producto de Prueba 651,2024-02
PROD652,Producto de Prueba 652,2024-02
PROD653,Producto de Prueba 653,2024-02
PROD654,Producto de Prueba 654,2024-02
PROD655,Producto de Prueba 655,2024-02
PROD656,Producto de Prueba 656,2024-02
PROD657,Producto de Prueba 657,2024-02
PROD658,Producto de Prueba 658,2024-02
PROD659,Producto de Prueba 659,2024-02
PROD660,Producto de Prueba 660,2024-02
PROD661,Producto de Prueba 661,2024-02
PROD662,Producto de Prueba 662,2024-02
PROD663,Producto de Prueba 663,2024-02
PROD664,Producto de Prueba 664,2024-02
